Date,Cases
10/12/22,648786733
11/12/22,649085967
12/12/22,649658720
13/12/22,650436793
14/12/22,651122541
15/12/22,651873247
16/12/22,652605304
17/12/22,652905777
18/12/22,653189501
19/12/22,653775912
20/12/22,654484792
21/12/22,655205564
22/12/22,655963530
23/12/22,656604975
24/12/22,656949354
25/12/22,657135648
26/12/22,657655053
27/12/22,658309208
28/12/22,658946340
29/12/22,659617625
30/12/22,660199728
31/12/22,660463792
01/01/23,660778387
02/01/23,661198108
03/01/23,661660893
04/01/23,662231345
05/01/23,662966595
06/01/23,663685449
07/01/23,664042494
08/01/23,664369944
09/01/23,664718936
10/01/23,665113877
11/01/23,665620426
12/01/23,666097539
13/01/23,666533383
14/01/23,666754735
15/01/23,666951599
16/01/23,667166217
17/01/23,667518310
18/01/23,667896028
19/01/23,668220526
20/01/23,668562246
21/01/23,668715650
22/01/23,668830077
23/01/23,669001131
24/01/23,669272951
25/01/23,669567171
26/01/23,669848920
27/01/23,670086844
28/01/23,670220207
29/01/23,670344054
30/01/23,670503932
31/01/23,670734589
01/02/23,671032404
02/02/23,671291489
03/02/23,671529548
04/02/23,671632287
05/02/23,671721476
06/02/23,671867463
07/02/23,672065240
08/02/23,672295338
09/02/23,672554241
10/02/23,672696324
11/02/23,672828531
12/02/23,672906177
13/02/23,673044131
14/02/23,673237731
15/02/23,673477639
16/02/23,673685532
17/02/23,673878833
18/02/23,673969796
19/02/23,674056229
20/02/23,674143589
21/02/23,674323721
22/02/23,674569824
23/02/23,674790916
24/02/23,674933342
25/02/23,674978793
26/02/23,675044414
27/02/23,675171439
28/02/23,675322238
01/03/23,675542852
02/03/23,675731911
03/03/23,675914580
04/03/23,675968775
05/03/23,676024901
06/03/23,676082941
07/03/23,676213378
08/03/23,676392824
09/03/23,676570149
